instant,date,season,year,month,holiday,weekday,workingday,weathersit,casual,registered,total_count
550,2012-07-03,Musim Gugur,2012,July,0,Tuesday,1,Clear or Partly Cloudy,1052,5608,6660
551,2012-07-04,Musim Gugur,2012,July,1,Wednesday,0,Clear or Partly Cloudy,2562,4841,7403
552,2012-07-05,Musim Gugur,2012,July,0,Thursday,1,Clear or Partly Cloudy,1405,4836,6241
553,2012-07-06,Musim Gugur,2012,July,0,Friday,1,Clear or Partly Cloudy,1366,4841,6207
554,2012-07-07,Musim Gugur,2012,July,0,Saturday,0,Clear or Partly Cloudy,1448,3392,4840
555,2012-07-08,Musim Gugur,2012,July,0,Sunday,0,Clear or Partly Cloudy,1203,3469,4672
556,2012-07-09,Musim Gugur,2012,July,0,Monday,1,Mist or Cloudy,998,5571,6569
557,2012-07-10,Musim Gugur,2012,July,0,Tuesday,1,Mist or Cloudy,954,5336,6290
558,2012-07-11,Musim Gugur,2012,July,0,Wednesday,1,Clear or Partly Cloudy,975,6289,7264
559,2012-07-12,Musim Gugur,2012,July,0,Thursday,1,Clear or Partly Cloudy,1032,6414,7446
560,2012-07-13,Musim Gugur,2012,July,0,Friday,1,Mist or Cloudy,1511,5988,7499
561,2012-07-14,Musim Gugur,2012,July,0,Saturday,0,Mist or Cloudy,2355,4614,6969
562,2012-07-15,Musim Gugur,2012,July,0,Sunday,0,Clear or Partly Cloudy,1920,4111,6031
563,2012-07-16,Musim Gugur,2012,July,0,Monday,1,Clear or Partly Cloudy,1088,5742,6830
564,2012-07-17,Musim Gugur,2012,July,0,Tuesday,1,Clear or Partly Cloudy,921,5865,6786
565,2012-07-18,Musim Gugur,2012,July,0,Wednesday,1,Clear or Partly Cloudy,799,4914,5713
566,2012-07-19,Musim Gugur,2012,July,0,Thursday,1,Clear or Partly Cloudy,888,5703,6591
567,2012-07-20,Musim Gugur,2012,July,0,Friday,1,Mist or Cloudy,747,5123,5870
568,2012-07-21,Musim Gugur,2012,July,0,Saturday,0,Light Snow or Rain with Thunderstorms,1264,3195,4459
569,2012-07-22,Musim Gugur,2012,July,0,Sunday,0,Mist or Cloudy,2544,4866,7410
570,2012-07-23,Musim Gugur,2012,July,0,Monday,1,Clear or Partly Cloudy,1135,5831,6966
571,2012-07-24,Musim Gugur,2012,July,0,Tuesday,1,Clear or Partly Cloudy,1140,6452,7592
572,2012-07-25,Musim Gugur,2012,July,0,Wednesday,1,Clear or Partly Cloudy,1383,6790,8173
573,2012-07-26,Musim Gugur,2012,July,0,Thursday,1,Clear or Partly Cloudy,1036,5825,6861
574,2012-07-27,Musim Gugur,2012,July,0,Friday,1,Clear or Partly Cloudy,1259,5645,6904
575,2012-07-28,Musim Gugur,2012,July,0,Saturday,0,Clear or Partly Cloudy,2234,4451,6685
576,2012-07-29,Musim Gugur,2012,July,0,Sunday,0,Clear or Partly Cloudy,2153,4444,6597
577,2012-07-30,Musim Gugur,2012,July,0,Monday,1,Clear or Partly Cloudy,1040,6065,7105
578,2012-07-31,Musim Gugur,2012,July,0,Tuesday,1,Clear or Partly Cloudy,968,6248,7216
579,2012-08-01,Musim Gugur,2012,August,0,Wednesday,1,Clear or Partly Cloudy,1074,6506,7580
580,2012-08-02,Musim Gugur,2012,August,0,Thursday,1,Clear or Partly Cloudy,983,6278,7261
581,2012-08-03,Musim Gugur,2012,August,0,Friday,1,Mist or Cloudy,1328,5847,7175
582,2012-08-04,Musim Gugur,2012,August,0,Saturday,0,Clear or Partly Cloudy,2345,4479,6824
583,2012-08-05,Musim Gugur,2012,August,0,Sunday,0,Clear or Partly Cloudy,1707,3757,5464
584,2012-08-06,Musim Gugur,2012,August,0,Monday,1,Mist or Cloudy,1233,5780,7013
585,2012-08-07,Musim Gugur,2012,August,0,Tuesday,1,Mist or Cloudy,1278,5995,7273
586,2012-08-08,Musim Gugur,2012,August,0,Wednesday,1,Mist or Cloudy,1263,6271,7534
587,2012-08-09,Musim Gugur,2012,August,0,Thursday,1,Clear or Partly Cloudy,1196,6090,7286
588,2012-08-10,Musim Gugur,2012,August,0,Friday,1,Mist or Cloudy,1065,4721,5786
589,2012-08-11,Musim Gugur,2012,August,0,Saturday,0,Mist or Cloudy,2247,4052,6299
590,2012-08-12,Musim Gugur,2012,August,0,Sunday,0,Clear or Partly Cloudy,2182,4362,6544
591,2012-08-13,Musim Gugur,2012,August,0,Monday,1,Clear or Partly Cloudy,1207,5676,6883
592,2012-08-14,Musim Gugur,2012,August,0,Tuesday,1,Clear or Partly Cloudy,1128,5656,6784
593,2012-08-15,Musim Gugur,2012,August,0,Wednesday,1,Clear or Partly Cloudy,1198,6149,7347
594,2012-08-16,Musim Gugur,2012,August,0,Thursday,1,Clear or Partly Cloudy,1338,6267,7605
595,2012-08-17,Musim Gugur,2012,August,0,Friday,1,Clear or Partly Cloudy,1483,5665,7148
596,2012-08-18,Musim Gugur,2012,August,0,Saturday,0,Clear or Partly Cloudy,2827,5038,7865
597,2012-08-19,Musim Gugur,2012,August,0,Sunday,0,Mist or Cloudy,1208,3341,4549
598,2012-08-20,Musim Gugur,2012,August,0,Monday,1,Mist or Cloudy,1026,5504,6530
599,2012-08-21,Musim Gugur,2012,August,0,Tuesday,1,Clear or Partly Cloudy,1081,5925,7006
600,2012-08-22,Musim Gugur,2012,August,0,Wednesday,1,Clear or Partly Cloudy,1094,6281,7375
601,2012-08-23,Musim Gugur,2012,August,0,Thursday,1,Clear or Partly Cloudy,1363,6402,7765
602,2012-08-24,Musim Gugur,2012,August,0,Friday,1,Mist or Cloudy,1325,6257,7582
603,2012-08-25,Musim Gugur,2012,August,0,Saturday,0,Mist or Cloudy,1829,4224,6053
604,2012-08-26,Musim Gugur,2012,August,0,Sunday,0,Mist or Cloudy,1483,3772,5255
605,2012-08-27,Musim Gugur,2012,August,0,Monday,1,Clear or Partly Cloudy,989,5928,6917
606,2012-08-28,Musim Gugur,2012,August,0,Tuesday,1,Clear or Partly Cloudy,935,6105,7040
607,2012-08-29,Musim Gugur,2012,August,0,Wednesday,1,Clear or Partly Cloudy,1177,6520,7697
608,2012-08-30,Musim Gugur,2012,August,0,Thursday,1,Clear or Partly Cloudy,1172,6541,7713
609,2012-08-31,Musim Gugur,2012,August,0,Friday,1,Clear or Partly Cloudy,1433,5917,7350
610,2012-09-01,Musim Gugur,2012,September,0,Saturday,0,Mist or Cloudy,2352,3788,6140
611,2012-09-02,Musim Gugur,2012,September,0,Sunday,0,Mist or Cloudy,2613,3197,5810
612,2012-09-03,Musim Gugur,2012,September,1,Monday,0,Clear or Partly Cloudy,1965,4069,6034
613,2012-09-04,Musim Gugur,2012,September,0,Tuesday,1,Clear or Partly Cloudy,867,5997,6864
614,2012-09-05,Musim Gugur,2012,September,0,Wednesday,1,Clear or Partly Cloudy,832,6280,7112
615,2012-09-06,Musim Gugur,2012,September,0,Thursday,1,Mist or Cloudy,611,5592,6203
616,2012-09-07,Musim Gugur,2012,September,0,Friday,1,Clear or Partly Cloudy,1045,6459,7504
617,2012-09-08,Musim Gugur,2012,September,0,Saturday,0,Mist or Cloudy,1557,4419,5976
618,2012-09-09,Musim Gugur,2012,September,0,Sunday,0,Clear or Partly Cloudy,2570,5657,8227
619,2012-09-10,Musim Gugur,2012,September,0,Monday,1,Clear or Partly Cloudy,1118,6407,7525
620,2012-09-11,Musim Gugur,2012,September,0,Tuesday,1,Clear or Partly Cloudy,1070,6697,7767
621,2012-09-12,Musim Gugur,2012,September,0,Wednesday,1,Clear or Partly Cloudy,1050,6820,7870
622,2012-09-13,Musim Gugur,2012,September,0,Thursday,1,Clear or Partly Cloudy,1054,6750,7804
623,2012-09-14,Musim Gugur,2012,September,0,Friday,1,Clear or Partly Cloudy,1379,6630,8009
624,2012-09-15,Musim Gugur,2012,September,0,Saturday,0,Clear or Partly Cloudy,3160,5554,8714
625,2012-09-16,Musim Gugur,2012,September,0,Sunday,0,Clear or Partly Cloudy,2166,5167,7333
626,2012-09-17,Musim Gugur,2012,September,0,Monday,1,Mist or Cloudy,1022,5847,6869
627,2012-09-18,Musim Gugur,2012,September,0,Tuesday,1,Mist or Cloudy,371,3702,4073
628,2012-09-19,Musim Gugur,2012,September,0,Wednesday,1,Clear or Partly Cloudy,788,6803,7591
629,2012-09-20,Musim Gugur,2012,September,0,Thursday,1,Clear or Partly Cloudy,939,6781,7720
630,2012-09-21,Musim Gugur,2012,September,0,Friday,1,Clear or Partly Cloudy,1250,6917,8167
631,2012-09-22,Musim Gugur,2012,September,0,Saturday,0,Clear or Partly Cloudy,2512,5883,8395
632,2012-09-23,Musim Dingin,2012,September,0,Sunday,0,Clear or Partly Cloudy,2454,5453,7907
633,2012-09-24,Musim Dingin,2012,September,0,Monday,1,Clear or Partly Cloudy,1001,6435,7436
634,2012-09-25,Musim Dingin,2012,September,0,Tuesday,1,Clear or Partly Cloudy,845,6693,7538
635,2012-09-26,Musim Dingin,2012,September,0,Wednesday,1,Clear or Partly Cloudy,787,6946,7733
636,2012-09-27,Musim Dingin,2012,September,0,Thursday,1,Mist or Cloudy,751,6642,7393
637,2012-09-28,Musim Dingin,2012,September,0,Friday,1,Mist or Cloudy,1045,6370,7415
638,2012-09-29,Musim Dingin,2012,September,0,Saturday,0,Clear or Partly Cloudy,2589,5966,8555
639,2012-09-30,Musim Dingin,2012,September,0,Sunday,0,Clear or Partly Cloudy,2015,4874,6889
640,2012-10-01,Musim Dingin,2012,October,0,Monday,1,Mist or Cloudy,763,6015,6778
641,2012-10-02,Musim Dingin,2012,October,0,Tuesday,1,Light Snow or Rain with Thunderstorms,315,4324,4639
642,2012-10-03,Musim Dingin,2012,October,0,Wednesday,1,Mist or Cloudy,728,6844,7572
643,2012-10-04,Musim Dingin,2012,October,0,Thursday,1,Mist or Cloudy,891,6437,7328
644,2012-10-05,Musim Dingin,2012,October,0,Friday,1,Clear or Partly Cloudy,1516,6640,8156
645,2012-10-06,Musim Dingin,2012,October,0,Saturday,0,Clear or Partly Cloudy,3031,4934,7965
646,2012-10-07,Musim Dingin,2012,October,0,Sunday,0,Mist or Cloudy,781,2729,3510
647,2012-10-08,Musim Dingin,2012,October,1,Monday,0,Mist or Cloudy,874,4604,5478
648,2012-10-09,Musim Dingin,2012,October,0,Tuesday,1,Mist or Cloudy,601,5791,6392
649,2012-10-10,Musim Dingin,2012,October,0,Wednesday,1,Clear or Partly Cloudy,780,6911,7691
650,2012-10-11,Musim Dingin,2012,October,0,Thursday,1,Clear or Partly Cloudy,834,6736,7570
651,2012-10-12,Musim Dingin,2012,October,0,Friday,1,Clear or Partly Cloudy,1060,6222,7282
652,2012-10-13,Musim Dingin,2012,October,0,Saturday,0,Clear or Partly Cloudy,2252,4857,7109
653,2012-10-14,Musim Dingin,2012,October,0,Sunday,0,Clear or Partly Cloudy,2080,4559,6639
654,2012-10-15,Musim Dingin,2012,October,0,Monday,1,Mist or Cloudy,760,5115,5875
655,2012-10-16,Musim Dingin,2012,October,0,Tuesday,1,Clear or Partly Cloudy,922,6612,7534
656,2012-10-17,Musim Dingin,2012,October,0,Wednesday,1,Clear or Partly Cloudy,979,6482,7461
657,2012-10-18,Musim Dingin,2012,October,0,Thursday,1,Mist or Cloudy,1008,6501,7509
658,2012-10-19,Musim Dingin,2012,October,0,Friday,1,Mist or Cloudy,753,4671,5424
659,2012-10-20,Musim Dingin,2012,October,0,Saturday,0,Clear or Partly Cloudy,2806,5284,8090
660,2012-10-21,Musim Dingin,2012,October,0,Sunday,0,Clear or Partly Cloudy,2132,4692,6824
661,2012-10-22,Musim Dingin,2012,October,0,Monday,1,Clear or Partly Cloudy,830,6228,7058
662,2012-10-23,Musim Dingin,2012,October,0,Tuesday,1,Clear or Partly Cloudy,841,6625,7466
663,2012-10-24,Musim Dingin,2012,October,0,Wednesday,1,Clear or Partly Cloudy,795,6898,7693
664,2012-10-25,Musim Dingin,2012,October,0,Thursday,1,Mist or Cloudy,875,6484,7359
665,2012-10-26,Musim Dingin,2012,October,0,Friday,1,Mist or Cloudy,1182,6262,7444
666,2012-10-27,Musim Dingin,2012,October,0,Saturday,0,Mist or Cloudy,2643,5209,7852
667,2012-10-28,Musim Dingin,2012,October,0,Sunday,0,Mist or Cloudy,998,3461,4459
668,2012-10-29,Musim Dingin,2012,October,0,Monday,1,Light Snow or Rain with Thunderstorms,2,20,22
669,2012-10-30,Musim Dingin,2012,October,0,Tuesday,1,Mist or Cloudy,87,1009,1096
670,2012-10-31,Musim Dingin,2012,October,0,Wednesday,1,Mist or Cloudy,419,5147,5566
671,2012-11-01,Musim Dingin,2012,November,0,Thursday,1,Mist or Cloudy,466,5520,5986
672,2012-11-02,Musim Dingin,2012,November,0,Friday,1,Clear or Partly Cloudy,618,5229,5847
673,2012-11-03,Musim Dingin,2012,November,0,Saturday,0,Mist or Cloudy,1029,4109,5138
674,2012-11-04,Musim Dingin,2012,November,0,Sunday,0,Clear or Partly Cloudy,1201,3906,5107
675,2012-11-05,Musim Dingin,2012,November,0,Monday,1,Clear or Partly Cloudy,378,4881,5259
676,2012-11-06,Musim Dingin,2012,November,0,Tuesday,1,Clear or Partly Cloudy,466,5220,5686
677,2012-11-07,Musim Dingin,2012,November,0,Wednesday,1,Mist or Cloudy,326,4709,5035
678,2012-11-08,Musim Dingin,2012,November,0,Thursday,1,Clear or Partly Cloudy,340,4975,5315
679,2012-11-09,Musim Dingin,2012,November,0,Friday,1,Clear or Partly Cloudy,709,5283,5992
680,2012-11-10,Musim Dingin,2012,November,0,Saturday,0,Clear or Partly Cloudy,2090,4446,6536
681,2012-11-11,Musim Dingin,2012,November,0,Sunday,0,Clear or Partly Cloudy,2290,4562,6852
682,2012-11-12,Musim Dingin,2012,November,1,Monday,0,Clear or Partly Cloudy,1097,5172,6269
683,2012-11-13,Musim Dingin,2012,November,0,Tuesday,1,Mist or Cloudy,327,3767,4094
684,2012-11-14,Musim Dingin,2012,November,0,Wednesday,1,Clear or Partly Cloudy,373,5122,5495
685,2012-11-15,Musim Dingin,2012,November,0,Thursday,1,Mist or Cloudy,320,5125,5445
686,2012-11-16,Musim Dingin,2012,November,0,Friday,1,Clear or Partly Cloudy,484,5214,5698
687,2012-11-17,Musim Dingin,2012,November,0,Saturday,0,Clear or Partly Cloudy,1313,4316,5629
688,2012-11-18,Musim Dingin,2012,November,0,Sunday,0,Clear or Partly Cloudy,922,3747,4669
689,2012-11-19,Musim Dingin,2012,November,0,Monday,1,Mist or Cloudy,449,5050,5499
690,2012-11-20,Musim Dingin,2012,November,0,Tuesday,1,Mist or Cloudy,534,5100,5634
691,2012-11-21,Musim Dingin,2012,November,0,Wednesday,1,Clear or Partly Cloudy,615,4531,5146
692,2012-11-22,Musim Dingin,2012,November,1,Thursday,0,Clear or Partly Cloudy,955,1470,2425
693,2012-11-23,Musim Dingin,2012,November,0,Friday,1,Clear or Partly Cloudy,1603,2307,3910
694,2012-11-24,Musim Dingin,2012,November,0,Saturday,0,Clear or Partly Cloudy,532,1745,2277
695,2012-11-25,Musim Dingin,2012,November,0,Sunday,0,Clear or Partly Cloudy,309,2115,2424
696,2012-11-26,Musim Dingin,2012,November,0,Monday,1,Clear or Partly Cloudy,337,4750,5087
697,2012-11-27,Musim Dingin,2012,November,0,Tuesday,1,Mist or Cloudy,123,3836,3959
698,2012-11-28,Musim Dingin,2012,November,0,Wednesday,1,Clear or Partly Cloudy,198,5062,5260
699,2012-11-29,Musim Dingin,2012,November,0,Thursday,1,Clear or Partly Cloudy,243,5080,5323
700,2012-11-30,Musim Dingin,2012,November,0,Friday,1,Clear or Partly Cloudy,362,5306,5668
701,2012-12-01,Musim Dingin,2012,December,0,Saturday,0,Mist or Cloudy,951,4240,5191
702,2012-12-02,Musim Dingin,2012,December,0,Sunday,0,Mist or Cloudy,892,3757,4649
703,2012-12-03,Musim Dingin,2012,December,0,Monday,1,Clear or Partly Cloudy,555,5679,6234
704,2012-12-04,Musim Dingin,2012,December,0,Tuesday,1,Clear or Partly Cloudy,551,6055,6606
705,2012-12-05,Musim Dingin,2012,December,0,Wednesday,1,Clear or Partly Cloudy,331,5398,5729
706,2012-12-06,Musim Dingin,2012,December,0,Thursday,1,Clear or Partly Cloudy,340,5035,5375
707,2012-12-07,Musim Dingin,2012,December,0,Friday,1,Mist or Cloudy,349,4659,5008
708,2012-12-08,Musim Dingin,2012,December,0,Saturday,0,Mist or Cloudy,1153,4429,5582
709,2012-12-09,Musim Dingin,2012,December,0,Sunday,0,Mist or Cloudy,441,2787,3228
710,2012-12-10,Musim Dingin,2012,December,0,Monday,1,Mist or Cloudy,329,4841,5170
711,2012-12-11,Musim Dingin,2012,December,0,Tuesday,1,Mist or Cloudy,282,5219,5501
712,2012-12-12,Musim Dingin,2012,December,0,Wednesday,1,Mist or Cloudy,310,5009,5319
713,2012-12-13,Musim Dingin,2012,December,0,Thursday,1,Clear or Partly Cloudy,425,5107,5532
714,2012-12-14,Musim Dingin,2012,December,0,Friday,1,Clear or Partly Cloudy,429,5182,5611
715,2012-12-15,Musim Dingin,2012,December,0,Saturday,0,Clear or Partly Cloudy,767,4280,5047
716,2012-12-16,Musim Dingin,2012,December,0,Sunday,0,Mist or Cloudy,538,3248,3786
717,2012-12-17,Musim Dingin,2012,December,0,Monday,1,Mist or Cloudy,212,4373,4585
718,2012-12-18,Musim Dingin,2012,December,0,Tuesday,1,Clear or Partly Cloudy,433,5124,5557
719,2012-12-19,Musim Dingin,2012,December,0,Wednesday,1,Clear or Partly Cloudy,333,4934,5267
720,2012-12-20,Musim Dingin,2012,December,0,Thursday,1,Mist or Cloudy,314,3814,4128
721,2012-12-21,Musim Semi,2012,December,0,Friday,1,Mist or Cloudy,221,3402,3623
722,2012-12-22,Musim Semi,2012,December,0,Saturday,0,Clear or Partly Cloudy,205,1544,1749
723,2012-12-23,Musim Semi,2012,December,0,Sunday,0,Clear or Partly Cloudy,408,1379,1787
724,2012-12-24,Musim Semi,2012,December,0,Monday,1,Mist or Cloudy,174,746,920
725,2012-12-25,Musim Semi,2012,December,1,Tuesday,0,Mist or Cloudy,440,573,1013
726,2012-12-26,Musim Semi,2012,December,0,Wednesday,1,Light Snow or Rain with Thunderstorms,9,432,441
727,2012-12-27,Musim Semi,2012,December,0,Thursday,1,Mist or Cloudy,247,1867,2114
728,2012-12-28,Musim Semi,2012,December,0,Friday,1,Mist or Cloudy,644,2451,3095
729,2012-12-29,Musim Semi,2012,December,0,Saturday,0,Mist or Cloudy,159,1182,1341
730,2012-12-30,Musim Semi,2012,December,0,Sunday,0,Clear or Partly Cloudy,364,1432,1796
731,2012-12-31,Musim Semi,2012,December,0,Monday,1,Mist or Cloudy,439,2290,2729
